region,date,kWh,devices,uptime,error_rate,solar_radiation_wm2,temperature_c
Melbourne,2024-06-12,1133,36,99.22,3.75,,
Melbourne,2024-06-13,1069,30,98.69,0.91,,
Melbourne,2024-06-14,1044,36,96.61,1.06,,
Melbourne,2024-06-15,1088,30,96.71,2.37,,
Melbourne,2024-06-16,1109,31,98.95,2.49,,
Melbourne,2024-06-17,1131,31,97.79,2.93,,
Melbourne,2024-06-18,1084,33,95.64,1.42,,
Melbourne,2024-06-19,1197,31,96.22,2.49,,
Melbourne,2024-06-20,1062,35,98.03,1.19,,
Melbourne,2024-06-21,1094,32,95.44,4.03,,
Melbourne,2024-06-22,1103,36,99.21,0.26,,
Melbourne,2024-06-23,1167,36,99.09,1.29,,
Melbourne,2024-06-24,1134,35,98.34,4.65,,
Melbourne,2024-06-25,1229,32,99.19,1.03,,
Melbourne,2024-06-26,1208,31,96.62,2.13,,
Melbourne,2024-06-27,1046,36,98.54,3.84,,
Melbourne,2024-06-28,1129,35,97.91,0.77,,
Melbourne,2024-06-29,1266,30,96.85,2.27,,
Sydney,2024-01-01,731,39,95.32,4.95,,
Sydney,2024-01-02,862,35,95.69,0.01,,
Sydney,2024-01-03,783,35,97.98,2.36,,
Sydney,2024-01-04,723,35,99.25,3.73,,
Sydney,2024-01-05,760,36,95.62,3.65,,
Sydney,2024-01-06,816,40,95.24,3.91,,
Sydney,2024-01-07,804,37,98.98,1.01,,
Sydney,2024-01-08,796,39,96.18,3.17,,
Sydney,2024-01-09,796,40,96.79,4.39,,
Sydney,2024-01-10,872,41,98.57,4.5,,
Sydney,2024-01-11,792,39,96.51,3.74,,
Sydney,2024-01-12,733,35,96.96,2.66,,
Sydney,2024-01-13,813,39,99.53,3.12,,
Sydney,2024-01-14,738,38,98.97,3.1,,
Sydney,2024-01-15,869,38,98.71,2.87,,
Sydney,2024-01-16,861,35,95.17,2.85,,
Sydney,2024-01-17,848,36,97.47,3.77,,
Sydney,2024-01-18,816,41,99.23,0.64,,
Sydney,2024-01-19,765,41,98.99,0.75,,
Sydney,2024-01-20,850,36,95.06,2.99,,
Sydney,2024-01-21,766,38,97.71,1.26,,
Sydney,2024-01-22,759,36,96.71,1.14,,
Sydney,2024-01-23,786,41,97.31,4.74,,
Sydney,2024-01-24,826,40,95.5,1.28,,
Sydney,2024-01-25,756,38,97.96,0.51,,
Sydney,2024-01-26,782,35,97.12,3.68,,
Sydney,2024-01-27,877,35,99.63,2.25,,
Sydney,2024-01-28,939,39,96.9,3.72,,
Sydney,2024-01-29,838,36,99.01,0.02,,
Sydney,2024-01-30,761,35,99.32,4.61,,
Sydney,2024-01-31,729,41,96.73,3.69,,
Sydney,2024-02-01,737,38,99.56,1.24,,
Sydney,2024-02-02,799,35,97.49,2.09,,
Sydney,2024-02-03,800,41,96.39,1.1,,
Sydney,2024-02-04,847,36,98.32,0.89,,
Sydney,2024-02-05,772,39,95.92,1.5,,
Sydney,2024-02-06,804,39,96.99,2.13,,
Sydney,2024-02-07,784,40,95.95,0.18,,
Sydney,2024-02-08,868,40,99.18,2.94,,
Sydney,2024-02-09,864,36,97.62,2.2,,
Sydney,2024-02-10,762,36,97.49,3.83,,
Sydney,2024-02-11,797,41,99.73,1.87,,
Sydney,2024-02-12,776,36,99.49,2.63,,
Sydney,2024-02-13,873,37,96.16,3.36,,
Sydney,2024-02-14,703,39,97.98,1.7,,
Sydney,2024-02-15,860,38,96.19,0.5,,
Sydney,2024-02-16,821,40,98.02,4.03,,
Sydney,2024-02-17,798,41,99.48,0.07,,
Sydney,2024-02-18,759,41,98.68,4.24,,
Sydney,2024-02-19,880,35,99.09,1.71,,
Sydney,2024-02-20,860,36,99.13,1.82,,
Sydney,2024-02-21,871,35,97.18,1.47,,
Sydney,2024-02-22,778,38,99.87,3.9,,
Sydney,2024-02-23,820,37,99.47,4.0,,
Sydney,2024-02-24,763,35,97.42,2.56,,
Sydney,2024-02-25,855,35,96.29,0.7,,
Sydney,2024-02-26,865,37,97.11,0.66,,
Sydney,2024-02-27,827,39,95.09,4.57,,
Sydney,2024-02-28,843,39,99.08,2.49,,
Sydney,2024-02-29,805,40,99.15,1.03,,
Sydney,2024-03-01,778,36,95.7,1.32,,
Sydney,2024-03-02,858,36,98.0,3.33,,
Sydney,2024-03-03,766,41,97.87,4.19,,
Sydney,2024-03-04,882,40,95.23,0.83,,
Sydney,2024-03-05,787,37,95.92,0.45,,
Sydney,2024-03-06,801,38,98.6,1.49,,
Sydney,2024-03-07,872,37,99.75,1.98,,
Sydney,2024-03-08,724,41,96.31,2.98,,
Sydney,2024-03-09,806,37,99.23,4.78,,
Sydney,2024-03-10,831,36,95.53,0.38,,
Sydney,2024-03-11,760,35,97.06,3.52,,
Sydney,2024-03-12,765,37,99.1,4.0,,
Sydney,2024-03-13,927,38,99.84,0.03,,
Sydney,2024-03-14,797,37,99.59,0.68,,
Sydney,2024-03-15,779,36,98.45,2.61,,
Sydney,2024-03-16,847,35,98.29,3.46,,
Sydney,2024-03-17,876,40,99.9,4.52,,
Sydney,2024-03-18,880,35,99.72,0.2,,
Sydney,2024-03-19,863,36,97.94,5.0,,
Sydney,2024-03-20,749,41,95.17,3.49,,
Sydney,2024-03-21,942,35,95.96,0.58,,
Sydney,2024-03-22,880,41,99.31,4.22,,
Sydney,2024-03-23,794,36,97.61,3.22,,
Sydney,2024-03-24,748,38,95.6,0.38,,
Sydney,2024-03-25,883,39,97.65,2.21,,
Sydney,2024-03-26,884,35,97.69,3.31,,
Sydney,2024-03-27,717,39,98.13,4.43,,
Sydney,2024-03-28,745,41,97.31,4.95,,
Sydney,2024-03-29,841,37,99.37,2.64,,
Sydney,2024-03-30,786,39,97.4,2.9,,
Sydney,2024-03-31,882,38,99.92,3.84,,
Sydney,2024-04-01,728,39,98.66,0.02,,
Sydney,2024-04-02,724,39,96.77,1.44,,
Sydney,2024-04-03,762,35,96.39,4.55,,
Sydney,2024-04-04,774,41,97.14,1.92,,
Sydney,2024-04-05,758,36,98.99,1.29,,
Sydney,2024-04-06,846,38,97.09,4.4,,
Sydney,2024-04-07,810,39,99.95,3.72,,
Sydney,2024-04-08,846,38,96.16,4.71,,
Sydney,2024-04-09,870,39,95.6,0.23,,
Sydney,2024-04-10,893,35,96.1,0.93,,
Sydney,2024-04-11,780,39,98.15,1.08,,
Sydney,2024-04-12,871,35,99.64,4.97,,
Sydney,2024-04-13,793,36,97.46,4.98,,
Sydney,2024-04-14,753,37,99.08,1.12,,
Sydney,2024-04-15,822,35,99.47,4.3,,
Sydney,2024-04-16,736,37,99.39,1.33,,
Sydney,2024-04-17,839,39,98.68,1.41,,
Sydney,2024-04-18,866,38,96.86,1.3,,
Sydney,2024-04-19,810,40,99.81,0.55,,
Sydney,2024-04-20,902,38,95.38,4.26,,
Sydney,2024-04-21,638,39,99.53,2.86,,
Sydney,2024-04-22,768,36,97.72,4.32,,
Sydney,2024-04-23,820,38,99.25,4.34,,
Sydney,2024-04-24,899,35,96.67,1.19,,
Sydney,2024-04-25,766,39,99.4,4.36,,
Sydney,2024-04-26,842,37,99.4,0.03,,
Sydney,2024-04-27,785,41,95.8,4.09,,
Sydney,2024-04-28,844,40,98.78,1.29,,
Sydney,2024-04-29,845,41,96.88,0.05,,
Sydney,2024-04-30,717,39,98.9,0.53,,
Sydney,2024-05-01,824,36,96.71,3.16,,
Sydney,2024-05-02,891,40,98.77,3.94,,
Sydney,2024-05-03,838,38,96.5,3.54,,
Sydney,2024-05-04,781,40,98.54,2.37,,
Sydney,2024-05-05,783,37,95.65,3.79,,
Sydney,2024-05-06,908,41,95.33,4.11,,
Sydney,2024-05-07,869,37,98.42,2.23,,
Sydney,2024-05-08,789,40,97.34,4.72,,
Sydney,2024-05-09,877,37,96.1,0.41,,
Sydney,2024-05-10,817,40,96.15,0.66,,
Sydney,2024-05-11,720,36,99.47,1.15,,
Sydney,2024-05-12,784,39,96.0,4.34,,
Sydney,2024-05-13,837,38,97.37,4.84,,
Sydney,2024-05-14,898,40,96.02,0.46,,
Sydney,2024-05-15,804,36,98.81,3.13,,
Sydney,2024-05-16,753,38,95.16,4.6,,
Sydney,2024-05-17,874,35,95.01,2.99,,
Sydney,2024-05-18,837,40,98.43,2.15,,
Sydney,2024-05-19,810,41,98.26,1.63,,
Sydney,2024-05-20,740,36,98.99,1.55,,
Sydney,2024-05-21,798,36,98.4,1.98,,
Sydney,2024-05-22,811,41,98.0,1.46,,
Sydney,2024-05-23,851,40,99.54,3.62,,
Sydney,2024-05-24,833,37,95.52,1.21,,
Sydney,2024-05-25,932,38,96.73,3.88,,
Sydney,2024-05-26,811,36,96.63,2.59,,
Sydney,2024-05-27,800,35,99.12,1.79,,
Sydney,2024-05-28,778,41,95.66,2.84,,
Sydney,2024-05-29,861,36,95.21,3.35,,
Sydney,2024-05-30,843,37,95.62,4.48,,
Sydney,2024-05-31,897,41,97.71,3.55,,
Sydney,2024-06-01,881,36,98.13,3.92,,
Sydney,2024-06-02,795,37,99.47,2.74,,
Sydney,2024-06-03,933,36,98.92,2.4,,
Sydney,2024-06-04,896,38,96.24,0.8,,
Sydney,2024-06-05,789,39,98.08,1.65,,
Sydney,2024-06-06,896,39,98.95,3.29,,
Sydney,2024-06-07,802,37,95.81,0.1,,
Sydney,2024-06-08,746,35,97.47,0.41,,
Sydney,2024-06-09,872,37,98.4,0.36,,
Sydney,2024-06-10,867,41,97.08,4.23,,
Sydney,2024-06-11,806,39,96.73,1.86,,
Sydney,2024-06-12,823,38,95.15,1.98,,
Sydney,2024-06-13,864,38,99.37,4.5,,
Sydney,2024-06-14,730,37,96.42,1.8,,
Sydney,2024-06-15,783,37,98.11,3.16,,
Sydney,2024-06-16,781,38,99.55,0.9,,
Sydney,2024-06-17,832,38,96.86,2.56,,
Sydney,2024-06-18,777,35,96.24,4.35,,
Sydney,2024-06-19,805,41,97.96,2.9,,
Sydney,2024-06-20,778,35,96.96,4.85,,
Sydney,2024-06-21,826,36,99.29,0.05,,
Sydney,2024-06-22,898,38,99.85,2.27,,
Sydney,2024-06-23,889,37,99.42,2.21,,
Sydney,2024-06-24,782,38,99.14,2.15,,
Sydney,2024-06-25,714,38,97.94,4.74,,
Sydney,2024-06-26,775,38,95.18,3.68,,
Sydney,2024-06-27,747,39,97.67,3.91,,
Sydney,2024-06-28,789,41,99.34,1.03,,
Sydney,2024-06-29,902,39,95.17,4.93,,
Brisbane,2024-01-01,909,35,95.2,0.61,,
Brisbane,2024-01-02,902,39,95.9,0.44,,
Brisbane,2024-01-03,935,37,95.74,4.93,,
Brisbane,2024-01-04,880,36,95.02,4.76,,
Brisbane,2024-01-05,971,40,96.27,2.61,,
Brisbane,2024-01-06,942,40,98.33,0.7,,
Brisbane,2024-01-07,878,40,95.81,0.94,,
Brisbane,2024-01-08,957,40,98.36,2.22,,
Brisbane,2024-01-09,915,35,98.31,4.89,,
Brisbane,2024-01-10,936,36,98.42,2.49,,
Brisbane,2024-01-11,973,34,95.15,4.65,,
Brisbane,2024-01-12,940,39,99.59,3.0,,
Brisbane,2024-01-13,967,39,98.29,5.0,,
Brisbane,2024-01-14,1016,39,96.59,4.33,,
Brisbane,2024-01-15,912,36,99.39,2.02,,
Brisbane,2024-01-16,900,39,99.63,2.19,,
Brisbane,2024-01-17,964,34,95.6,2.72,,
Brisbane,2024-01-18,905,34,96.64,3.15,,
Brisbane,2024-01-19,984,36,96.94,2.24,,
Brisbane,2024-01-20,1026,34,97.73,2.22,,
Brisbane,2024-01-21,927,39,98.21,3.8,,
Brisbane,2024-01-22,913,34,96.9,4.32,,
Brisbane,2024-01-23,800,38,99.07,0.54,,
Brisbane,2024-01-24,1040,38,96.99,2.9,,
Brisbane,2024-01-25,1041,40,99.06,3.59,,
Brisbane,2024-01-26,961,36,97.61,4.11,,
Brisbane,2024-01-27,971,38,99.49,1.22,,
Brisbane,2024-01-28,917,36,96.9,0.99,,
Brisbane,2024-01-29,855,39,97.43,1.28,,
Brisbane,2024-01-30,920,37,98.35,4.65,,
Brisbane,2024-01-31,1048,35,98.05,3.58,,
Brisbane,2024-02-01,974,34,99.88,4.12,,
Brisbane,2024-02-02,872,37,95.91,2.63,,
Brisbane,2024-02-03,928,40,96.48,3.97,,
Brisbane,2024-02-04,884,39,97.75,0.22,,
Brisbane,2024-02-05,917,35,95.56,0.01,,
Brisbane,2024-02-06,937,37,96.14,1.06,,
Brisbane,2024-02-07,1038,35,95.87,1.8,,
Brisbane,2024-02-08,934,34,96.18,3.9,,
Brisbane,2024-02-09,938,35,98.66,4.26,,
Brisbane,2024-02-10,976,36,98.12,2.26,,
Brisbane,2024-02-11,953,35,95.76,1.18,,
Brisbane,2024-02-12,921,38,95.48,0.12,,
Brisbane,2024-02-13,980,40,96.15,1.03,,
Brisbane,2024-02-14,859,38,97.97,2.48,,
Brisbane,2024-02-15,963,35,96.37,2.99,,
Brisbane,2024-02-16,894,38,98.59,3.46,,
Brisbane,2024-02-17,1020,40,96.71,4.09,,
Brisbane,2024-02-18,843,40,98.86,1.32,,
Brisbane,2024-02-19,977,38,99.47,0.96,,
Brisbane,2024-02-20,870,34,98.09,2.21,,
Brisbane,2024-02-21,889,37,95.34,4.0,,
Brisbane,2024-02-22,937,39,97.96,3.4,,
Brisbane,2024-02-23,847,37,96.62,1.67,,
Brisbane,2024-02-24,960,35,97.23,1.67,,
Brisbane,2024-02-25,1022,39,97.81,4.79,,
Brisbane,2024-02-26,952,34,95.85,2.05,,
Brisbane,2024-02-27,879,39,97.25,3.78,,
Brisbane,2024-02-28,991,37,97.37,1.91,,
Brisbane,2024-02-29,864,40,97.0,0.76,,
Brisbane,2024-03-01,986,38,95.46,1.29,,
Brisbane,2024-03-02,932,40,99.32,3.04,,
Brisbane,2024-03-03,863,38,95.18,1.52,,
Brisbane,2024-03-04,926,35,96.71,1.9,,
Brisbane,2024-03-05,864,34,96.53,1.98,,
Brisbane,2024-03-06,889,40,99.71,4.37,,
Brisbane,2024-03-07,947,40,99.96,4.26,,
Brisbane,2024-03-08,898,35,97.51,1.99,,
Brisbane,2024-03-09,1035,39,99.39,4.34,,
Brisbane,2024-03-10,959,39,95.71,1.06,,
Brisbane,2024-03-11,898,36,95.87,3.47,,
Brisbane,2024-03-12,974,35,99.79,2.87,,
Brisbane,2024-03-13,931,38,99.31,4.61,,
Brisbane,2024-03-14,960,39,95.7,4.49,,
Brisbane,2024-03-15,899,36,96.99,0.73,,
Brisbane,2024-03-16,972,38,95.61,2.39,,
Brisbane,2024-03-17,846,38,97.75,4.83,,
Brisbane,2024-03-18,927,37,96.56,2.53,,
Brisbane,2024-03-19,878,39,95.0,0.09,,
Brisbane,2024-03-20,918,35,98.25,0.76,,
Brisbane,2024-03-21,891,36,98.77,3.1,,
Brisbane,2024-03-22,922,40,99.92,1.2,,
Brisbane,2024-03-23,894,37,98.09,3.17,,
Brisbane,2024-03-24,910,34,96.16,1.1,,
Brisbane,2024-03-25,950,39,97.13,0.65,,
Brisbane,2024-03-26,874,37,97.02,3.27,,
Brisbane,2024-03-27,944,39,99.14,3.67,,
Brisbane,2024-03-28,816,39,99.82,1.24,,
Brisbane,2024-03-29,913,39,96.3,3.8,,
Brisbane,2024-03-30,873,35,95.95,3.09,,
Brisbane,2024-03-31,972,38,99.88,4.01,,
Brisbane,2024-04-01,900,38,95.21,1.86,,
Brisbane,2024-04-02,966,38,99.22,0.49,,
Brisbane,2024-04-03,860,35,95.64,4.32,,
Brisbane,2024-04-04,962,36,96.88,1.97,,
Brisbane,2024-04-05,863,39,96.96,4.78,,
Brisbane,2024-04-06,948,35,97.19,1.27,,
Brisbane,2024-04-07,933,35,99.65,1.27,,
Brisbane,2024-04-08,954,40,98.3,4.48,,
Brisbane,2024-04-09,950,34,98.07,0.33,,
Brisbane,2024-04-10,865,37,97.56,3.4,,
Brisbane,2024-04-11,928,38,95.19,3.73,,
Brisbane,2024-04-12,980,36,95.06,4.78,,
Brisbane,2024-04-13,954,38,96.94,2.31,,
Brisbane,2024-04-14,871,38,98.3,3.82,,
Brisbane,2024-04-15,836,35,95.1,0.41,,
Brisbane,2024-04-16,955,35,98.34,0.05,,
Brisbane,2024-04-17,991,37,98.08,3.87,,
Brisbane,2024-04-18,948,39,99.48,1.61,,
Brisbane,2024-04-19,1033,37,96.46,4.9,,
Brisbane,2024-04-20,998,40,97.6,3.08,,
Brisbane,2024-04-21,1015,35,95.64,1.69,,
Brisbane,2024-04-22,873,37,96.94,0.82,,
Brisbane,2024-04-23,827,37,96.2,0.61,,
Brisbane,2024-04-24,936,38,96.43,4.08,,
Brisbane,2024-04-25,917,40,99.4,1.29,,
Brisbane,2024-04-26,1031,39,97.3,4.21,,
Brisbane,2024-04-27,959,39,98.88,3.28,,
Brisbane,2024-04-28,934,36,96.35,2.7,,
Brisbane,2024-04-29,860,38,95.82,0.66,,
Brisbane,2024-04-30,966,40,97.44,0.75,,
Brisbane,2024-05-01,954,37,98.66,2.71,,
Brisbane,2024-05-02,937,40,95.53,0.76,,
Brisbane,2024-05-03,1055,39,99.37,3.18,,
Brisbane,2024-05-04,894,35,97.79,4.06,,
Brisbane,2024-05-05,949,37,98.63,4.96,,
Brisbane,2024-05-06,915,35,98.29,1.55,,
Brisbane,2024-05-07,882,38,98.67,3.08,,
Brisbane,2024-05-08,899,38,97.69,2.62,,
Brisbane,2024-05-09,869,35,98.8,0.18,,
Brisbane,2024-05-10,886,35,98.79,3.39,,
Brisbane,2024-05-11,957,36,99.21,2.35,,
Brisbane,2024-05-12,871,40,97.24,3.61,,
Brisbane,2024-05-13,925,39,97.97,1.96,,
Brisbane,2024-05-14,1009,38,95.15,0.83,,
Brisbane,2024-05-15,887,37,98.97,0.46,,
Brisbane,2024-05-16,897,39,98.62,0.52,,
Brisbane,2024-05-17,1053,35,97.81,2.8,,
Brisbane,2024-05-18,1007,35,98.01,0.11,,
Brisbane,2024-05-19,973,36,97.49,0.39,,
Brisbane,2024-05-20,916,39,99.91,1.05,,
Brisbane,2024-05-21,902,37,97.59,2.2,,
Brisbane,2024-05-22,903,40,96.18,1.86,,
Brisbane,2024-05-23,881,34,97.99,3.68,,
Brisbane,2024-05-24,874,37,97.48,0.89,,
Brisbane,2024-05-25,1018,40,97.05,4.2,,
Brisbane,2024-05-26,985,38,95.92,1.81,,
Brisbane,2024-05-27,828,35,95.83,3.5,,
Brisbane,2024-05-28,1009,39,97.59,1.49,,
Brisbane,2024-05-29,1009,38,95.28,4.26,,
Brisbane,2024-05-30,896,38,97.4,2.18,,
Brisbane,2024-05-31,860,38,98.53,3.16,,
Brisbane,2024-06-01,930,37,98.83,0.79,,
